2014-02-05,2014-06-29,hard-copy and electronic version,
2014-01-15,2014-06-05,hard-copy and electronic version,
2014-03-20,2014-04-26,hard-copy only,
2014-01-06,2014-05-10,hard-copy and electronic version,
2014-03-22,2014-06-25,hard-copy and electronic version,
2014-02-13,2014-06-01,hard-copy only,
2014-01-16,2014-04-05,hard-copy only,
2014-02-16,2014-04-22,electronic version only,
2014-02-13,2014-05-12,hard-copy only,
2014-02-28,2014-04-21,electronic version only,
2014-02-25,2014-06-06,electronic version only,
2014-01-27,2014-06-24,electronic version only,
2014-01-28,2014-04-25,hard-copy and electronic version,
2014-02-20,2014-05-25,electronic version only,
2014-01-01,2014-06-06,hard-copy only,
2014-03-09,2014-05-17,electronic version only,
2014-02-27,2014-05-17,electronic version only,
2014-01-09,2014-06-25,hard-copy only,
2014-02-10,2014-04-02,hard-copy and electronic version,
2014-02-24,2014-05-12,electronic version only,
2014-02-24,2014-06-12,hard-copy and electronic version,
2014-01-26,2014-05-14,hard-copy only,
2014-01-18,2014-06-03,hard-copy only,
2014-03-28,2014-04-06,hard-copy and electronic version,
2014-02-16,2014-05-21,hard-copy and electronic version,
2014-02-07,2014-06-30,hard-copy only,
2014-01-25,2014-05-02,hard-copy only,
2014-03-18,2014-04-03,hard-copy and electronic version,
2014-02-19,2014-05-06,electronic version only,
2014-02-10,2014-06-06,hard-copy and electronic version,
2014-01-08,2014-04-21,hard-copy only,
2014-02-02,2014-06-24,hard-copy and electronic version,
2014-02-25,2014-05-28,hard-copy only,
2014-02-22,2014-05-26,hard-copy and electronic version,
2014-01-01,2014-06-16,electronic version only,
2014-03-29,2014-06-03,hard-copy only,
2014-01-18,2014-04-05,hard-copy and electronic version,
2014-03-09,2014-04-17,hard-copy and electronic version,
2014-03-29,2014-06-13,hard-copy and electronic version,
2014-03-20,2014-04-13,hard-copy only,
2014-02-25,2014-05-19,electronic version only,
2014-01-07,2014-04-19,hard-copy only,
2014-02-03,2014-06-08,electronic version only,
2014-01-06,2014-04-25,hard-copy only,
2014-02-15,2014-05-30,hard-copy only,
2014-02-22,2014-05-27,hard-copy and electronic version,
2014-02-06,2014-06-22,hard-copy and electronic version,
2014-02-18,2014-04-23,electronic version only,
2014-03-24,2014-04-08,hard-copy and electronic version,
2014-03-24,2014-04-11,hard-copy and electronic version,
2014-03-16,2014-06-14,electronic version only,
2014-02-09,2014-05-09,electronic version only,
2014-01-23,2014-04-12,electronic version only,
2014-01-30,2014-04-28,hard-copy only,
2014-03-07,2014-05-18,hard-copy and electronic version,
2014-01-25,2014-04-11,hard-copy only,
2014-01-24,2014-04-18,hard-copy and electronic version,
2014-01-18,2014-06-10,hard-copy and electronic version,
2014-03-19,2014-04-08,electronic version only,
2014-02-19,2014-05-29,hard-copy only,
2014-03-03,2014-05-24,hard-copy only,
2014-01-10,2014-05-24,electronic version only,
2014-01-03,2014-05-02,hard-copy and electronic version,
2014-03-08,2014-06-17,electronic version only,
2014-02-03,2014-05-02,electronic version only,
2014-02-12,2014-05-04,electronic version only,
2014-02-17,2014-05-10,hard-copy and electronic version,
2014-03-20,2014-05-30,hard-copy only,
2014-03-24,2014-04-27,hard-copy only,
2014-03-26,2014-06-01,hard-copy only,
2014-02-10,2014-06-06,hard-copy and electronic version,
2014-02-27,2014-04-04,hard-copy and electronic version,
2014-03-30,2014-05-14,electronic version only,
2014-03-15,2014-05-01,hard-copy only,
2014-02-20,2014-06-29,hard-copy and electronic version,
2014-03-16,2014-05-09,hard-copy only,
2014-02-10,2014-06-21,hard-copy and electronic version,
2014-03-10,2014-06-06,hard-copy only,
2014-03-09,2014-05-12,hard-copy and electronic version,
2014-03-28,2014-04-10,hard-copy only,
2014-03-20,2014-04-27,hard-copy only,
2014-03-04,2014-06-01,hard-copy and electronic version,
2014-03-18,2014-06-30,hard-copy and electronic version,
2014-01-22,2014-05-26,hard-copy only,
2014-02-04,2014-05-16,hard-copy only,
2014-03-05,2014-05-21,hard-copy only,
2014-01-15,2014-05-28,electronic version only,
2014-03-11,2014-05-15,electronic version only,
2014-02-10,2014-04-10,hard-copy only,
2014-03-06,2014-05-11,hard-copy only,
2014-02-22,2014-04-25,hard-copy only,
2014-01-01,2014-04-21,hard-copy and electronic version,
2014-02-19,2014-06-04,electronic version only,
2014-03-04,2014-04-04,hard-copy and electronic version,
2014-02-16,2014-05-25,hard-copy only,
2014-03-05,2014-05-05,hard-copy only,
2014-03-17,2014-05-11,electronic version only,
2014-02-23,2014-05-06,electronic version only,
2014-01-18,2014-06-05,hard-copy only,
2014-02-20,2014-06-10,electronic version only,
2014-03-19,2014-05-24,electronic version only,
2014-03-23,2014-04-01,hard-copy and electronic version,
2014-02-02,2014-05-09,hard-copy only,
2014-03-12,2014-06-29,electronic version only,
2014-03-25,2014-05-19,hard-copy and electronic version,
2014-01-17,2014-05-30,hard-copy only,
2014-03-15,2014-05-13,hard-copy and electronic version,
2014-01-11,2014-05-20,hard-copy only,
2014-01-21,2014-04-23,electronic version only,
2014-02-22,2014-06-25,electronic version only,
2014-03-25,2014-04-29,electronic version only,
2014-01-16,2014-06-25,hard-copy and electronic version,
2014-02-27,2014-04-28,hard-copy only,
2014-03-19,2014-06-25,hard-copy and electronic version,
2014-03-07,2014-05-23,hard-copy and electronic version,
2014-02-07,2014-06-06,hard-copy and electronic version,
2014-01-13,2014-06-11,hard-copy and electronic version,
2014-01-21,2014-05-15,hard-copy and electronic version,
2014-03-30,2014-05-29,electronic version only,
2014-02-19,2014-04-07,hard-copy and electronic version,
2014-02-12,2014-06-04,hard-copy only,
2014-03-25,2014-06-07,hard-copy only,
2014-01-01,2014-04-04,hard-copy only,
2014-02-18,2014-06-30,hard-copy only,
2014-01-10,2014-04-18,hard-copy and electronic version,
2014-02-24,2014-04-20,electronic version only,
2014-01-06,2014-06-20,hard-copy only,
2014-02-04,2014-05-27,electronic version only,
2014-01-24,2014-04-04,hard-copy only,
2014-01-23,2014-06-06,hard-copy and electronic version,
2014-02-18,2014-06-06,electronic version only,
2014-02-02,2014-06-06,hard-copy only,
2014-03-27,2014-06-25,hard-copy only,
2014-02-28,2014-06-08,hard-copy and electronic version,
2014-01-22,2014-06-16,hard-copy only,
2014-03-21,2014-06-05,hard-copy only,
2014-02-01,2014-04-20,electronic version only,
2014-01-10,2014-04-29,electronic version only,
2014-03-19,2014-05-26,hard-copy and electronic version,
2014-01-26,2014-05-08,hard-copy only,
2014-02-17,2014-05-04,electronic version only,
2014-03-06,2014-04-24,hard-copy only,
2014-01-29,2014-05-26,hard-copy only,
2014-02-14,2014-06-25,electronic version only,
2014-01-15,2014-04-16,hard-copy only,
2014-01-11,2014-05-15,electronic version only,
2014-03-25,2014-06-22,hard-copy only,
2014-02-28,2014-05-18,hard-copy only,
2014-01-17,2014-06-10,electronic version only,
2014-01-09,2014-04-05,electronic version only,
2014-01-29,2014-05-28,hard-copy and electronic version,
2014-03-21,2014-04-18,hard-copy and electronic version,
2014-03-14,2014-06-18,hard-copy and electronic version,
2014-02-19,2014-05-04,electronic version only,
2014-03-19,2014-05-07,hard-copy and electronic version,
2014-01-28,2014-04-03,electronic version only,
2014-02-14,2014-04-05,hard-copy only,
2014-02-04,2014-05-14,hard-copy and electronic version,
2014-02-10,2014-05-08,hard-copy and electronic version,
2014-01-14,2014-05-05,hard-copy and electronic version,
2014-02-16,2014-04-16,hard-copy only,
2014-03-16,2014-06-03,hard-copy only,
2014-03-27,2014-04-24,hard-copy and electronic version,
2014-02-11,2014-05-18,hard-copy only,
2014-01-12,2014-05-20,hard-copy and electronic version,
2014-03-04,2014-04-27,electronic version only,
2014-01-15,2014-05-09,hard-copy only,
2014-03-29,2014-05-21,electronic version only,
2014-02-27,2014-04-27,hard-copy only,
2014-02-12,2014-06-04,hard-copy and electronic version,
2014-03-07,2014-06-05,electronic version only,
2014-02-17,2014-05-30,hard-copy only,
2014-01-26,2014-04-12,electronic version only,
2014-03-04,2014-05-12,electronic version only,
2014-03-06,2014-05-09,hard-copy and electronic version,
2014-03-09,2014-04-17,electronic version only,
2014-03-18,2014-06-11,hard-copy only,
2014-03-20,2014-05-20,hard-copy and electronic version,
2014-03-04,2014-05-11,hard-copy and electronic version,
2014-02-19,2014-05-05,hard-copy and electronic version,
2014-03-22,2014-05-16,hard-copy only,
2014-01-01,2014-04-24,hard-copy and electronic version,
2014-02-21,2014-05-23,hard-copy and electronic version,
2014-02-20,2014-04-16,electronic version only,
2014-02-12,2014-06-02,hard-copy only,
2014-03-10,2014-06-07,hard-copy and electronic version,
2014-03-17,2014-06-20,hard-copy only,
2014-03-10,2014-05-07,electronic version only,
2014-03-19,2014-04-24,hard-copy and electronic version,
2014-02-04,2014-06-29,electronic version only,
2014-02-17,2014-05-15,electronic version only,
2014-02-12,2014-05-06,electronic version only,
2014-01-16,2014-04-15,electronic version only,
2014-02-11,2014-05-07,hard-copy and electronic version,
2014-03-17,2014-06-16,electronic version only,
2014-02-06,2014-05-26,hard-copy only,
2014-02-04,2014-05-26,electronic version only,
2014-02-10,2014-04-08,hard-copy only,
2014-01-02,2014-06-29,hard-copy and electronic version,
2014-02-02,2014-04-13,hard-copy only,
